Gen,Domain_idpc_ndu_302_12_4930,Node_idpc_ndu_302_12_4930,Edge_idpc_ndu_302_12_4930,Domain_idpc_ndu_1002_12_82252,Node_idpc_ndu_1002_12_82252,Edge_idpc_ndu_1002_12_82252,Domain_idpc_ndu_1506_9_130556,Node_idpc_ndu_1506_9_130556,Edge_idpc_ndu_1506_9_130556,Domain_idpc_ndu_2494_12_276620,Node_idpc_ndu_2494_12_276620,Edge_idpc_ndu_2494_12_276620,Domain_idpc_ndu_2715_22_592246,Node_idpc_ndu_2715_22_592246,Edge_idpc_ndu_2715_22_592246
435,0.416666667,0.266004415,0.170507099,0.377777778,0.208782435,0.174390896,0.437037037,0.240106242,0.457007466,0.377777778,0.226757551,0.420878943,0.254545455,0.146126458,0.061948695
436,0.377777778,0.233333333,0.156335362,0.377777778,0.212774451,0.183465448,0.533333333,0.348826915,0.671213885,0.344444444,0.191312483,0.35486323,0.248484848,0.14325353,0.06151374
437,0.4,0.259602649,0.20250169,0.394444444,0.22588157,0.192028563,0.466666667,0.273970784,0.522808603,0.383333333,0.230526597,0.424258791,0.233333333,0.129134438,0.055420889
438,0.422222222,0.272626932,0.186761325,0.461111111,0.289554225,0.247741899,0.422222222,0.222310757,0.416124371,0.377777778,0.228307939,0.426677512,0.284848485,0.175911602,0.075858118
439,0.4,0.258057395,0.196132522,0.377777778,0.210046574,0.17883172,0.481481481,0.292784418,0.563807613,0.372222222,0.219059075,0.401786807,0.275757576,0.167661142,0.072496339
440,0.394444444,0.254966887,0.183786342,0.411111111,0.245242848,0.21051322,0.474074074,0.281673307,0.536527876,0.388888889,0.242127773,0.455846528,0.275757576,0.168373235,0.073071213
441,0.5,0.363796909,0.288505747,0.355555556,0.190552229,0.160442705,0.437037037,0.240681718,0.456109766,0.355555556,0.205880781,0.384482443,0.254545455,0.146740331,0.061914925
442,0.427777778,0.282119205,0.210223124,0.366666667,0.201996008,0.17242215,0.481481481,0.29477645,0.575106978,0.366666667,0.218096766,0.408465283,0.263636364,0.157028852,0.067265855
443,0.438888889,0.303090508,0.200162272,0.377777778,0.206586826,0.172036344,0.481481481,0.292607348,0.563910251,0.377777778,0.227666399,0.423056419,0.236363636,0.134585635,0.058623162
444,0.4,0.262251656,0.205787694,0.383333333,0.216034597,0.183611341,0.466666667,0.277423639,0.538493316,0.372222222,0.221651965,0.410373316,0.260606061,0.15364027,0.065724491
445,0.377777778,0.23995585,0.192292089,0.388888889,0.22328676,0.189766409,0.474074074,0.285878707,0.556543808,0.35,0.19967923,0.372728653,0.245454545,0.142050338,0.06169711
446,0.433333333,0.295143488,0.237714672,0.433333333,0.258017299,0.214975117,0.451851852,0.258654272,0.498398644,0.388888889,0.241218925,0.450792182,0.209090909,0.111381215,0.048572046
447,0.466666667,0.335099338,0.299770115,0.405555556,0.235063207,0.197861045,0.42962963,0.234661355,0.45364186,0.372222222,0.222560813,0.415459716,0.26969697,0.158870473,0.066643253
448,0.416666667,0.272847682,0.186896552,0.388888889,0.22089155,0.18616366,0.481481481,0.288003541,0.549488853,0.344444444,0.191446137,0.355032174,0.260606061,0.154990792,0.066957537
449,0.422222222,0.27615894,0.171913455,0.377777778,0.206187625,0.170815705,0.474074074,0.282735724,0.542068282,0.344444444,0.193130179,0.359036464,0.296969697,0.187354205,0.081528622
450,0.411111111,0.273509934,0.207991886,0.394444444,0.22588157,0.190478043,0.511111111,0.32478973,0.628128926,0.394444444,0.244319701,0.452164461,0.248484848,0.143449969,0.061292098
451,0.405555556,0.265121413,0.176524679,0.388888889,0.211111111,0.170174585,0.503703704,0.312660469,0.597628093,0.361111111,0.210585405,0.392309787,0.251515152,0.14742787,0.063826968
